Support_ID,H1_KPI_weighted_power,H2_birdlife_KPI,H3_defecs_severity_KPI
RPUDB12T//74-22-4,5.42,10,1
RPUWQIFO//74-22-5-CT,4.33,0,0
RPWULH1G//74-22-3,5.42,0,3
RQ0W7MUL//74-22-2,5.42,0,5
RQ2HC35J//74-27,6.5,10,0
RQ2NBO45//79,7.58,0,0
RQ2O32O0//74-26,6.5,10,0
RQ2O34P5//74-2-1-CT,4.33,0,0
RQ2O35AP//81,7.58,0,0
RQ2RSBDX//74-10-1-CT,4.33,0,0
RQ2TB80M//74-3,6.5,0,0
RQ2U2NH2//78,7.58,0,0
RQ2VJJ4Q//74-4,6.5,0,5
RQ2WAWCD//74-25,6.5,10,0
RQ2WB0PA//79-1-CT,5.41,0,1
RQ3227SQ//77,7.58,0,0
RQ351XNN//74-3-1-CT,4.33,0,0
RQ351XTF//74,7.58,0,0
RQ35REIC//74-6,6.5,0,5
RQ36IS0S//74-24,6.5,10,0
RQ36IS7R//74-22-1,5.42,0,5
RQ36ITU7//74-2,6.5,0,0
RQ37A8RE//74-28,6.5,10,5
RQ38R6MC//74-7,6.5,0,0
RQ38R73O//74-1,6.5,0,0
RQ38R785//76,7.58,0,0
RQ3D9RJP//74-23,6.5,10,0
RQ3E19WA//74-8,6.5,0,0
RQ3E1AI0//75,7.58,0,1
RQ3HQH2A//74-10,6.5,0,5
RQ3IHW6E//74-9,6.5,0,0
RQ3K0TFG//82,7.58,0,10
RQ3M949X//74-22,6.5,0,0
RQ3OHGEU//74-11,6.5,0,0
RQ3TPIUD//74-21,6.5,0,5
RQ3TPJNW//74-12,6.5,0,0
RQ4087VA//74-13,6.5,0,0
RQ44OTL4//74-20,6.5,0,5
RQ44OU50//74-14,6.5,0,0
RQ4AOEG4//74-15,6.5,0,0
RQ4C7A7X//74-19,6.5,0,0
RQ4CWPID//74-16,6.5,0,0
RQ4CWRDB//83,7.58,0,1
RQ4HFDQA//74-17,6.5,0,0
RQ4KF5UF//74-18,6.5,0,0
RQ4O6CAL//74-29,6.5,10,0
RQ4RVMH0//84,7.57,0,0
RQ52UWT5//80-1-CT,5.41,0,0
RQ5BU910//73,7.58,0,0
RQ5HTS99//85,7.57,0,0
RQ61SCFJ//74-30,6.5,10,2
