Segment_ID;H1_KPI_weighted_power;H2_birdlife_KPI;H3_KPI_defects_severity
CDO7031278;0;0;0
CDO7031327;6.4;0;2.6
CDO7031328;6.5;0;0
CDO7031329;6.5;10;0
CDO7031330;6.53;0;0
CDO7031331;7.59;0;0
CDO7031332;5.42;10;0.2
CDO7031333;0;0;0
CDO7031334;7.61;0;0
CDO7031335;6.5;10;0.5
CDO7031336;6.5;10;2
CDO7031337;0;0;0
CDO7031339;5.2;10;4.9
CDO7031340;0;0;0
CDO7031341;7.59;0;0.1
CDO7031342;0;0;0
CDO7031343;4.33;0;0
CDO7031344;6.5;0;0
CDO7031345;5.43;0;0
CDO7031346;4.33;0;0
CDO7031347;0;0;0
CDO7031348;6.51;0;0.1
CDO7031349;5.42;3;1.4
CDO7031350;6.51;0;0.1
CDO7031351;0;0;0
CDO7031352;0;0;0
CDO7031353;0;0;0
CDO7031354;5.42;10;0
CDO7031355;0;0;0
CDO7031356;6.51;0;0
CDO7031357;0;0;0
CDO7031358;5.45;0;0
CDO7031359;7.61;0;0.5
CDO7031360;6.5;0;0
CDO7031361;6.5;10;0.4
CDO7031362;0;0;0
CDO7031363;0;0;0
CDO7031364;4.33;0;0
CDO7031365;4.33;0;0
CDO7031366;6.53;0;0
CDO7031367;0;0;0
CDO7031368;6.5;0;1.5
CDO7031369;0;0;0
CDO7031370;0;0;0
CDO7031371;0;0;0
CDO7031372;7.57;0;0
CDO7031373;5.42;0;0
CDO7031374;7.6;0;0.1
CDO7031375;7.59;0;0.3
CDO7031376;0;0;0
CDO7031377;0;0;0
CDO7031378;0;0;0
CDO7031379;5.41;0;0.1
CDO7031380;0;0;0
CDO7031381;7.58;0;1.1
CDO7031382;0;0;0
CDO7031383;0;0;0
CDO7031384;6.51;0;0
CDO7031385;0;0;0
CDO7031386;0;0;0
CDO7031387;0;0;0
CDO7031388;5.46;0;0
CDO7031389;5.41;0;0
CDO7031390;0;0;0
CDO7031391;4.34;0;0
CDO7031393;0;0;0
CDO7031394;0;0;0
CDO7031395;0;0;0
CDO7031396;5.41;0;0
CDO7031397;7.58;0;0.1
CDO7031398;6.5;0;0
CDO7031399;0;0;0
CDO7031400;0;0;0
CDO7031401;0;0;0
CDO7031402;6.51;0;0
CDO7031403;7.57;0;0.2
CDO7031404;0;0;0
CDO7031405;0;0;0
CDO7031406;0;0;0
CDO7031407;7.57;0;0
CDO7031408;6.5;0;1
CDO7031409;0;0;0
CDO7031410;7.57;0;0
CDO7031413;0;0;0
CDO7031415;0;0;0
